INDEX,APPID,NAME,POSITIVE,NEGATIVE,RATING
3530,749560,Cycle 28,30,1,80.30%
3531,333250,Forward to the Sky,"1,396",267,80.30%
3532,655370,Train Bandit,30,1,80.30%
3533,287260,Toybox Turbos,867,158,80.30%
3534,438460,Arena 3D,30,1,80.30%
3535,420020,Eye of the Owl,38,2,80.29%
3536,8260,Sam & Max 201: Ice Station Santa,105,12,80.29%
3537,1004190,Flowers in Dark,38,2,80.29%
3538,777220,The Inquisitor,38,2,80.29%
3539,396060,The Rose and I,141,18,80.29%
3540,718090,Princess.Loot.Pixel.Again x2,170,23,80.28%
3541,202730,Dynamite Jack,345,55,80.28%
3542,334560,Square Heroes,215,31,80.28%
3543,408170,Networm,21,0,80.28%
3544,887510,Galencia,21,0,80.28%
3545,522710,Virtual Escape: The Play Room,21,0,80.28%
3546,613420,BOROS,21,0,80.28%
3547,914620,Mist Survival,"2,471",496,80.28%
3548,893610,Into the Fray,21,0,80.28%
3549,319400,Disney Winnie the Pooh,135,17,80.28%
3550,810640,Radiis,21,0,80.28%
3551,969480,Warp Glider,21,0,80.28%
3552,491240,Lil Big Invasion,21,0,80.28%
3553,587310,Soma Spirits: Rebalance,21,0,80.28%
3554,585340,SYMMETRY alpha,21,0,80.28%
3555,800390,Puppet Fever,21,0,80.28%
3556,670060,Defenders of Ekron,21,0,80.28%
3557,57000,NyxQuest,86,9,80.27%
3558,478980,Mansions of Madness,237,35,80.27%
3559,426330,MetaHuman Inc.,129,16,80.27%
3560,451840,Out of Ammo,510,87,80.26%
3561,269670,BADLAND: Game of the Year Edition,"1,147",216,80.26%
3562,363460,Spermination,349,56,80.24%
3563,339910,Uncraft World,370,60,80.24%
3564,263740,FootLOL: Epic Fail League,838,153,80.23%
3565,215530,The Incredible Adventures of Van Helsing,"4,980","1,049",80.23%
3566,233350,Sudeki,406,67,80.23%
3567,107300,Breath of Death VII,989,184,80.23%
3568,108800,Crysis 2 Maximum Edition,"6,618","1,415",80.22%
3569,299540,Heroes Rise: The Prodigy,306,48,80.22%
3570,463210,State of Anarchy,793,144,80.22%
3571,301190,Frederic: Resurrection of Music,709,127,80.22%
3572,46510,Syberia 2,851,156,80.21%
3573,658690,Rage In Peace,66,6,80.21%
3574,435250,Deadhunt,66,6,80.21%
3575,937350,Food Drive,66,6,80.21%
3576,651280,TinkerQuarry,66,6,80.21%
3577,325060,Parallax,104,12,80.20%
3578,490950,Frost,79,8,80.20%
3579,510520,Little Red Lie,79,8,80.20%
3580,450950,Danmaku Unlimited 3,104,12,80.20%
3581,890880,FROSTBITE: Deadly Climate,191,27,80.19%
3582,298280,XenoRaptor,110,13,80.19%
3583,444800,NO THING,191,27,80.19%
3584,717640,Reigns: Her Majesty,497,85,80.19%
3585,935580,True Fear: Forsaken Souls Part 2,116,14,80.19%
3586,608660,Psebay,59,5,80.18%
3587,603330,Blasted Road Terror,59,5,80.18%
3588,2210,Quake 4,874,161,80.18%
3589,644710,Gary Grigsby's War in the West,52,4,80.17%
3590,504130,Manual Samuel,556,97,80.15%
3591,885150,Capcom Beat 'Em Up Bundle / ???????????? ???????????????????????? ??????????????????,162,22,80.14%
3592,468920,Ultimate Fishing Simulator,991,186,80.13%
3593,452540,Skylar & Plux: Adventure On Clover Island,261,40,80.13%
3594,219830,King Arthur's Gold,"3,046",628,80.13%
3595,761070,Garden of Oblivion,97,11,80.12%
3596,325520,Fire,298,47,80.12%
3597,460960,The Deed: Dynasty,266,41,80.12%
3598,728440,Next,121,15,80.11%
3599,358750,Sunrider: Liberation Day - Captain's Edition,539,94,80.11%
3600,297120,Heavy Bullets,951,178,80.11%
3601,302490,Ballad of Solar,121,15,80.11%
3602,477200,Descent: Road to Legend,167,23,80.10%
3603,981410,Oppai Girl,115,14,80.10%
3604,341150,Age of Fear 2: The Chaos Lord GOLD,195,28,80.10%
3605,489660,Fabric,109,13,80.10%
3606,893680,Project Warlock,206,30,80.10%
3607,626660,Flipping Death,37,2,80.09%
3608,862770,KO Mech,37,2,80.09%
3609,873150,SharpShooter3D,292,46,80.09%
3610,513230,The Underground Man,"1,084",206,80.09%
3611,855850,Space Elite Force,37,2,80.09%
3612,31700,Iron Grip: Warlord,313,50,80.09%
3613,614710,Seance: The Unquiet (Demo 1),37,2,80.09%
3614,345630,The Eden of Grisaia,37,2,80.09%
3615,15270,Cold Fear,260,40,80.09%
3616,93200,Revenge of the Titans,838,155,80.08%
3617,272330,Shadow Blade: Reload,222,33,80.08%
3618,261640,Borderlands: The Pre-Sequel,"16,052","3,596",80.08%
3619,888630,Another Sight,65,6,80.08%
3620,526140,The Gallery - Episode 2: Heart of the Emberstone,222,33,80.08%
3621,936190,Atelier Meruru ~The Apprentice of Arland~ DX,29,1,80.07%
3622,451100,Cubikolor,29,1,80.07%
3623,704440,Nimble Fish,29,1,80.07%
3624,711690,Cognizer,29,1,80.07%
3625,12360,FlatOut: Ultimate Carnage,"1,921",385,80.07%
3626,363930,Dead Age,"2,798",576,80.07%
3627,802740,Wild Glory,29,1,80.07%
3628,702670,Donut County,"1,263",244,80.07%
3629,922550,keyg,29,1,80.07%
3630,466900,Hide & Spook: The Haunted Alchemist,29,1,80.07%
3631,300380,Road Redemption,"4,652",988,80.07%
3632,804350,Starman,29,1,80.07%
3633,15750,Oddworld: Stranger's Wrath HD,735,134,80.07%
3634,242640,Styx: Master of Shadows,"4,456",944,80.07%
3635,845270,Mirror Drop,29,1,80.07%
3636,205650,The Testament of Sherlock Holmes,"1,469",288,80.06%
3637,293760,Automation - The Car Company Tycoon Game,"1,393",272,80.06%
3638,314360,Aritana and the Harpy's Feather,84,9,80.05%
3639,300340,Lemma,194,28,80.05%
3640,628730,Adolescent Santa Claus,486,84,80.05%
3641,505640,Antihero,338,55,80.05%
3642,303610,Suicide Guy,476,82,80.05%
3643,701470,TTV2,58,5,80.04%
3644,654550,Football Game,58,5,80.04%
3645,808100,Galimulator,58,5,80.04%
3646,25600,Eschalon: Book 1,166,23,80.03%
3647,671090,Oik Memory,90,10,80.03%
3648,646500,Egypt: Old Kingdom,280,44,80.03%
3649,552160,Hade,96,11,80.02%
3650,412740,Audioshield,"2,076",420,80.02%
3651,48950,Greed Corp,399,67,80.02%
3652,489360,CASE: Animatronics,882,165,80.02%
3653,395930,Farm Frenzy: Heave Ho,44,3,80.02%
3654,340360,Tomb of Tyrants,210,31,80.02%
3655,351230,Counter Spell,114,14,80.02%
3656,504380,Detective Hayseed - Hollywood,44,3,80.02%
3657,344440,Sacra Terra: Angelic Night,188,27,80.02%
3658,3430,Pizza Frenzy,51,4,80.01%
3659,558450,Fibrillation HD,143,19,80.01%
3660,331870,AER Memories of Old,"1,355",265,80.01%
3661,611780,Across The Moment,51,4,80.01%
3662,927250,Bladed Fury,"1,015",193,80.01%
3663,681820,??????????????????(Chinese Paladin???Sword and Fairy 4),934,176,80.01%
3664,511570,NIGHTSTAR: STARFIGHTER,51,4,80.01%
3665,753360,VoiceActress,160,22,80.01%
3666,654440,Isotiles,71,7,80.01%
3667,904570,TOK,51,4,80.01%
3668,346780,Luminosity,51,4,80.01%
3669,885470,Wired,20,0,80.00%
3670,765690,Dark Strokes: The Legend of the Snow Kingdom Collector???s Edition,20,0,80.00%
3671,438440,Star Rogue,20,0,80.00%
3672,800190,The Adventures of Elena Temple,20,0,80.00%
3673,632880,The Majesty of Colors Remastered,20,0,80.00%
3674,679500,Campfire Cooking,20,0,80.00%
3675,298520,Orbital Gear,"1,485",293,80.00%
3676,460140,Midnight at the Celestial Palace: Chapter I,20,0,80.00%
3677,725110,Wizards Tourney,20,0,80.00%
3678,565690,Ayakashigami,20,0,80.00%
3679,620340,Cubrick,20,0,80.00%
3680,610250,Glitch's Trip,20,0,80.00%
3681,831660,Monobeno-HAPPY END-,20,0,80.00%
3682,407100,Gulf of Aden - Task Force Somalia,20,0,80.00%
3683,892560,PaulPaul - Act 1,20,0,80.00%
3684,744600,Balloonatics,20,0,80.00%
3685,458730,Conception II: Children of the Seven Stars,388,65,80.00%
3686,552200,peakvox Mew Mew Chamber for Steam,20,0,80.00%
3687,695110,Twickles,20,0,80.00%
3688,560550,void LINK,20,0,80.00%
3689,681530,NOISZ,20,0,80.00%
3690,356420,Interloper,279,44,79.99%
3691,292990,Nobunaga's Ambition: Souzou,398,67,79.99%
3692,544750,SOULCALIBUR VI,"2,754",570,79.99%
3693,461950,Beat Cop,"1,526",302,79.99%
3694,713530,Armored Kitten,131,17,79.97%
3695,91800,Cloning Clyde,77,8,79.97%
3696,331600,ONE PIECE PIRATE WARRIORS 3,"4,401",939,79.97%
3697,240340,Space Ace,77,8,79.97%
3698,214610,Cherry Tree High Comedy Club,458,79,79.97%
3699,233190,Final Exam,753,139,79.97%
3700,222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,864,162,79.97%
3701,679400,Relik,125,16,79.96%
3702,802730,Mother Simulator,241,37,79.96%
3703,359550,Tom Clancy's Rainbow Six Siege,"236,255","56,677",79.96%
3704,761620,Beholder 2,815,152,79.95%
3705,273580,Descent 2,64,6,79.95%
3706,405310,LEGO?? MARVEL's Avengers,"1,843",372,79.94%
3707,273840,Stock Car Extreme,391,66,79.94%
3708,214790,The Basement Collection,819,153,79.94%
3709,517320,GunGirl 2,83,9,79.94%
3710,267530,The LEGO?? Movie - Videogame,"1,802",363,79.94%
3711,384280,Mute Crimson+,113,14,79.93%
3712,264220,Mr. Bree+,192,28,79.93%
3713,726910,Star Wars: Droid Repair Bay,208,31,79.92%
3714,447200,The Men of Yoshiwara: Ohgiya,101,12,79.92%
3715,275100,Shelter 2,"2,586",536,79.92%
3716,612930,Fight of Gods,565,101,79.92%
3717,579230,Alpacapaca Dash,95,11,79.92%
3718,269250,WORLD END ECONOMiCA episode.01,456,79,79.92%
3719,525780,Doorways: Old Prototype,436,75,79.92%
3720,682450,Garrison: Archangel,89,10,79.92%
3721,399070,Dragon's Wake,298,48,79.92%
3722,319320,Time Mysteries 3: The Final Enigma,261,41,79.90%
3723,365160,Kona,"1,279",251,79.90%
3724,742480,The Big Journey,70,7,79.89%
3725,370050,Scarab Tales,36,2,79.89%
3726,840930,Bing Bong XL,70,7,79.89%
3727,390620,An Alien with a Magnet,36,2,79.89%
3728,327500,Zenzizenzic,70,7,79.89%
3729,705670,Ballz: Farm,36,2,79.89%
3730,313500,Blitzkrieg 2 Anthology,435,75,79.89%
3731,466720,Vintage VR,57,5,79.89%
3732,789540,The Adventures of Nick & Willikins,57,5,79.89%
3733,514340,Aliens Go Home Run,57,5,79.89%
3734,525690,MMM: Murder Most Misfortunate,36,2,79.89%
3735,342920,Toto Temple Deluxe,36,2,79.89%
3736,482990,Heirs And Graces,36,2,79.89%
3737,65700,Arma 2: British Armed Forces,234,36,79.88%
3738,447890,Cat on a Diet,509,90,79.88%
3739,361630,404Sight,"1,173",229,79.87%
3740,476650,The Silver Case,169,24,79.87%
3741,268050,The Evil Within,"10,373","2,322",79.86%
3742,521950,Bullet Sorrow VR,223,34,79.86%
3743,289200,Ascension to the Throne,196,29,79.85%
3744,402340,Blue Rider,76,8,79.85%
3745,37260,Emerald City Confidential,50,4,79.84%
3746,610080,Realm Grinder,"2,139",440,79.84%
3747,740200,The Mercury Man,408,70,79.84%
3748,516840,The Tale of Doris and the Dragon - Episode 1,50,4,79.84%
3749,55000,Flotilla,163,23,79.84%
3750,702600,Indygo,50,4,79.84%
3751,416830,Light Fall,50,4,79.84%
3752,391000,Farm Frenzy Collection,50,4,79.84%
3753,329070,SpyParty,352,59,79.83%
3754,763790,TrainerVR,28,1,79.83%
3755,406920,Monsterland,28,1,79.83%
3756,427770,Pills4Skills,43,3,79.83%
3757,304850,Worlds,28,1,79.83%
3758,950140,Hiding Spot,28,1,79.83%
3759,613130,Mega Overload,28,1,79.83%
3760,864100,Sagebrush,43,3,79.83%
3761,437250,A House of Many Doors,201,30,79.83%
3762,526800,Cubotrox,43,3,79.83%
3763,652340,Flagsplosion,28,1,79.83%
3764,713160,After Death,43,3,79.83%
3765,871280,Grisaia Phantom Trigger Vol.5,28,1,79.83%
3766,968290,Deported 2: Build That Wall,28,1,79.83%
3767,414660,Vampire Legends: The True Story of Kisilova,275,44,79.83%
3768,697650,The 25th Ward: The Silver Case,43,3,79.83%
3769,725410,Gaia's Melody: Echoed Melodies,28,1,79.83%
3770,666010,Refract,28,1,79.83%
3771,696530,Lake Ridden,106,13,79.83%
3772,793450,Desecration of Wings,28,1,79.83%
3773,518670,Intensive Exposure,146,20,79.82%
3774,449040,Jesus Christ RPG Trilogy,"1,033",200,79.82%
3775,377870,DARIUSBURST Chronicle Saviours,372,63,79.82%
3776,386560,Psycho Starship Rampage,100,12,79.82%
3777,541210,Cold Waters,"1,262",249,79.82%
3778,455980,Judgment: Apocalypse Survival Simulation,892,170,79.82%
3779,307230,"I, Zombie","1,731",351,79.82%
3780,994200,Melee,63,6,79.81%
3781,461690,Iron Impact,168,24,79.81%
3782,603140,Connected Hearts - Visual novel,157,22,79.81%
3783,45100,Secret of the Magic Crystal,"1,335",265,79.81%
3784,12170,Grand Theft Auto,195,29,79.80%
3785,834740,Circle Empires,652,120,79.80%
3786,500260,Ben and Ed - Blood Party,545,98,79.80%
3787,297060,Freaking Meatbags,123,16,79.79%
3788,344740,CRYPTARK,608,111,79.79%
3789,234160,Strike Suit Infinity,461,81,79.79%
3790,252490,Rust,"214,678","52,008",79.79%
3791,371200,Halcyon 6: Starbase Commander (CLASSIC),"1,040",202,79.79%
3792,262450,Dead Man's Draw,315,52,79.78%
3793,213850,Magic 2014,"3,606",772,79.77%
3794,427820,Hitman GO: Definitive Edition,746,140,79.77%
3795,445190,Expeditions: Viking,"1,551",313,79.77%
3796,303680,FATE: The Traitor Soul,134,18,79.76%
3797,552880,STARDROP,69,7,79.76%
3798,308600,Geneshift,548,99,79.76%
3799,591000,Deep Sixed,69,7,79.76%
3800,857950,Incredible Mandy,69,7,79.76%
3801,697610,Idle Bouncer,145,20,79.75%
3802,281860,RefleX,156,22,79.74%
3803,275830,7 Wonders: Magical Mystery Tour,56,5,79.73%
3804,395140,Miracle Fly,75,8,79.73%
3805,968700,The Kite,257,41,79.73%
3806,391140,Blast-off,56,5,79.73%
3807,502370,"Warhammer 40,000: Sanctus Reach",537,97,79.73%
3808,288390,Nobunaga's Ambition: Souzou with Power Up Kit,75,8,79.73%
3809,111600,Serious Sam Double D XXL,508,91,79.73%
3810,40960,Stronghold 2,658,122,79.73%
3811,539400,Son of a Witch,139,19,79.72%
3812,573040,School of Talent: SUZU-ROUTE,81,9,79.71%
3813,533970,Blocks,122,16,79.71%
3814,572180,Zap Zone,19,0,79.71%
3815,485380,Welcome to the Game,"1,343",269,79.71%
3816,922250,Heavy Burger,19,0,79.71%
3817,633930,"Yeah Jam Fury: U, Me, Everybody!",19,0,79.71%
3818,766940,Snares of Ruin,19,0,79.71%
3819,365870,Below Kryll,81,9,79.71%
3820,394030,Trigonarium,19,0,79.71%
3821,550160,Street Champ VR,19,0,79.71%
3822,401280,Nubs' Adventure,19,0,79.71%
3823,992050,Oik 5,19,0,79.71%
3824,646370,Vesta,19,0,79.71%
3825,982540,Hyss,19,0,79.71%
3826,360530,WE ARE DOOMED,19,0,79.71%
3827,757700,Dungeon's Barrage,19,0,79.71%
3828,607490,HAUNTED: Halloween '86 (The Curse Of Possum Hollow),19,0,79.71%
3829,462000,Cyberpong,93,11,79.71%
3830,858050,The Rose of Segunda,19,0,79.71%
3831,785750,Senran Meisuishu Tactics / ????????????????????????????????,19,0,79.71%
3832,676470,Sommad,19,0,79.71%
3833,340800,Unhack,220,34,79.71%
3834,549260,Alwa's Awakening,267,43,79.71%
3835,411870,Discovering Colors - Animals,19,0,79.71%
3836,536470,Magnetized,19,0,79.71%
3837,889400,StickyBots,19,0,79.71%
3838,876890,Draw It! 2,19,0,79.71%
3839,372210,Spooky Cats,287,47,79.69%
3840,247430,Hitman: Contracts,972,189,79.69%
3841,484930,Beekyr Reloaded,49,4,79.68%
3842,455690,Pixel Puzzles Junior,49,4,79.68%
3843,545670,Parallyzed,35,2,79.68%
3844,852910,sweet pool,35,2,79.68%
3845,445040,Sorcery! Part 3,35,2,79.68%
3846,372030,Starship Rubicon,35,2,79.68%
3847,346770,Quarries of Scred,49,4,79.68%
3848,299720,Terrorhedron,934,181,79.68%
3849,423440,Choice of Kung Fu,35,2,79.68%
3850,370940,Demons with Shotguns,49,4,79.68%
3851,549740,Indie Game Sim,49,4,79.68%
3852,791330,Fallen ~Makina and the City of Ruins~,501,90,79.68%
3853,664450,Manifest 99,35,2,79.68%
3854,610310,Star Story: The Horizon Escape,116,15,79.68%
3855,976420,My so-called future girlfriend [Visual Novel],35,2,79.68%
3856,207380,eXceed 2nd - Vampire REX,193,29,79.68%
3857,13620,Tom Clancy's Ghost Recon: Desert Siege,35,2,79.68%
3858,379210,Wayward,432,76,79.67%
3859,231200,Kentucky Route Zero,"1,503",305,79.67%
3860,680390,Hidden Dragon: Legend,62,6,79.67%
3861,440090,Heroes of the West,312,52,79.67%
3862,8600,RACE 07,"1,671",342,79.67%
3863,411320,"Codename: Panzers, Phase Two",62,6,79.67%
3864,617610,Japanese Women - Animated Jigsaws,62,6,79.67%
3865,290340,Armello,"6,806","1,519",79.66%
3866,457480,Domino Sky,198,30,79.66%
3867,585260,Antagonist,42,3,79.65%
3868,889740,The Oni Sellsword,42,3,79.65%
3869,398160,Shapes of Gray,42,3,79.65%
3870,399910,Ookibloks,42,3,79.65%
3871,720940,Horns of Fear,42,3,79.65%
3872,367430,Redshift Blueshift,42,3,79.65%
3873,663240,All You Can Eat,104,13,79.64%
3874,389570,Mitos.is: The Game,"9,452","2,142",79.64%
3875,575650,Lily's Day Off,138,19,79.64%
3876,418300,Wick,361,62,79.62%
3877,999830,Becalm,68,7,79.62%
3878,33340,Dawn of Discovery - Venice,244,39,79.61%
3879,233410,Final Hours of Tomb Raider,92,11,79.61%
3880,820400,Shrouded in Sanity: Freebirth,86,10,79.60%
3881,533120,VCB: Why City,"2,003",418,79.60%
3882,763230,Fruity Smoothie,115,15,79.60%
3883,299400,XING: The Land Beyond,115,15,79.60%
3884,775530,puzzlement,74,8,79.60%
3885,319760,Oh My Gore!,143,20,79.60%
3886,454410,GIGA WRECKER,390,68,79.60%
3887,823130,Totally Accurate Battlegrounds,"20,459","4,778",79.60%
3888,412050,HordeZ,325,55,79.59%
3889,34410,Death to Spies: Moment of Truth,259,42,79.59%
3890,266410,iRacing,712,135,79.59%
3891,821320,SPAGHET,80,9,79.59%
3892,564530,Pharaoh + Cleopatra,375,65,79.59%
3893,431710,Space Pilgrim Episode II: Epsilon Indi,310,52,79.59%
3894,544550,Stationeers,"1,309",264,79.59%
3895,726390,Scream Collector,305,51,79.59%
3896,854870,Perseverance: Part 1,27,1,79.58%
3897,580630,Dimensional Rift,27,1,79.58%
3898,742150,Heart of the House,27,1,79.58%
3899,848930,Rising Dusk,27,1,79.58%
3900,564810,Ticket,27,1,79.58%
3901,590950,Toaster Jam,27,1,79.58%
3902,948020,Mojo 2,27,1,79.58%
3903,869350,Because We're Here ~Mohnblume und Blauerose~,27,1,79.58%
3904,701440,Phantom Jump,27,1,79.58%
3905,899190,A Piece of Wish upon the Stars,55,5,79.58%
3906,441010,Mount Your Friends 3D: A Hard Man is Good to Climb,159,23,79.58%
3907,806720,GensoYonbaiKen2,27,1,79.58%
3908,449180,Meld,27,1,79.58%
3909,722920,Hex Empire 3,27,1,79.58%
3910,354650,MISSING: An Interactive Thriller - Episode One,526,96,79.58%
3911,620080,A Clockwork Ley-Line: The Borderline of Dusk,27,1,79.58%
3912,829940,Russian World,27,1,79.58%
3913,321410,Command: Modern Air / Naval Operations WOTY,404,71,79.57%
3914,325150,Run or Die,109,14,79.57%
3915,821890,Steven Universe: Save the Light,233,37,79.57%
3916,573130,Aporia: Beyond The Valley,274,45,79.57%
3917,443860,Riptide GP: Renegade,148,21,79.57%
3918,305050,Outland,"2,949",634,79.56%
3919,425670,Seraph,374,65,79.56%
3920,829110,LEGO?? DC Super-Villains,248,40,79.55%
3921,233550,Another World,"1,150",230,79.55%
3922,356260,Stalingrad,164,24,79.55%
3923,301200,Frederic: Evil Strikes Back,587,109,79.55%
3924,58570,The Next BIG Thing,344,59,79.55%
3925,318330,Mecha Ace,103,13,79.54%
3926,33900,Arma 2,"1,721",357,79.53%
3927,791930,BombTag,723,138,79.53%
3928,612390,Dandara,131,18,79.53%
3929,284180,Magicians & Looters,97,12,79.52%
3930,450170,BOOR,97,12,79.52%
3931,8210,Sam & Max 102: Situation: Comedy,61,6,79.52%
3932,224580,Arma 2: DayZ Mod,"5,586","1,247",79.52%
3933,374040,Portal Knights,"10,682","2,453",79.52%
3934,517790,Caesar 3,298,50,79.52%
3935,619290,Out of the Park Baseball 19,446,80,79.52%
3936,745330,StrikeForce Kitty,61,6,79.52%
3937,422920,Creeper World 2 Anniversary Edition,61,6,79.52%
3938,613470,The Inner World: The Last Wind Monk,114,15,79.51%
3939,342940,Project: Gorgon,566,105,79.51%
3940,510490,The Fall Part 2: Unbound,190,29,79.51%
3941,445750,Settled,91,11,79.50%
3942,646200,Dead Effect 2 VR,627,118,79.50%
3943,774561,Rym 9000,48,4,79.50%
3944,385560,Shadow Complex Remastered,532,98,79.50%
3945,586390,Missile Cards,48,4,79.50%
3946,12320,Sacred Gold,"1,467",301,79.50%
3947,61520,Age of Wonders: Shadow Magic,216,34,79.50%
3948,286300,Algo Bot,48,4,79.50%
3949,339190,Dead Synchronicity: Tomorrow Comes Today,556,103,79.50%
3950,3380,Dynomite! Deluxe,48,4,79.50%
3951,348950,Ame no Marginal -Rain Marginal-,272,45,79.49%
3952,416240,Space Impossible,67,7,79.49%
3953,494810,VR: Vacate the Room,179,27,79.48%
3954,480480,Slash or Die,200,31,79.48%
3955,994020,Tempest of the Heavens and Earth,73,8,79.48%
3956,343090,SimpleRockets,231,37,79.48%
3957,545430,Bedfellows FRENZY,73,8,79.48%
3958,70640,Worms,312,53,79.48%
3959,1005910,TAKANARIA,85,10,79.48%
3960,691830,Avernum 3: Ruined World,79,9,79.47%
3961,301120,Eastside Hockey Manager,715,137,79.47%
3962,752600,Dual Snake,34,2,79.46%
3963,412480,Turtle Odyssey,34,2,79.46%
3964,676240,TAURONOS,34,2,79.46%
3965,403780,Color Symphony 2,34,2,79.46%
3966,890220,Math Fun,34,2,79.46%
3967,568690,Smash Party VR,34,2,79.46%
3968,625780,Magic Wand,34,2,79.46%
3969,320330,Earthworms,34,2,79.46%
3970,871100,Animyst,34,2,79.46%
3971,652410,Brigand: Oaxaca,41,3,79.45%
3972,984720,Hentai Summer,41,3,79.45%
3973,685240,Paradiddle,41,3,79.45%
3974,358370,Terminal Velocity,41,3,79.45%
3975,499340,Turner,41,3,79.45%
3976,360550,Cursed Sight,141,20,79.45%
3977,583090,SeaBed,41,3,79.45%
3978,393430,Ice Lakes,807,157,79.45%
3979,950860,Spiral Clicker,130,18,79.45%
3980,586660,Trackless,41,3,79.45%
3981,730920,Super Skelemania,41,3,79.45%
3982,516580,DYSTORIA,41,3,79.45%
3983,534290,Cursed Castilla (Maldita Castilla EX),301,51,79.44%
3984,271920,Worlds Adrift Island Creator,281,47,79.44%
3985,317250,Airscape: The Fall of Gravity,"1,987",420,79.43%
3986,856600,Fur the Game,54,5,79.42%
3987,294570,Freddi Fish 5: The Case of the Creature of Coral Cove,54,5,79.42%
3988,294140,They Breathe,850,167,79.40%
3989,222660,Retro/Grade,290,49,79.40%
3990,302690,Metal Dead,369,65,79.40%
3991,884960,Rolling in the Reef,18,0,79.39%
3992,449240,Stormworm+,18,0,79.39%
3993,654810,A Snake's Tale,18,0,79.39%
3994,654910,YANKAI'S PEAK.,18,0,79.39%
3995,908990,Steel Vampire / ???????????????????????????,18,0,79.39%
3996,652880,Samsara,18,0,79.39%
3997,585500,Dick Wilde,18,0,79.39%
3998,450440,Creepy Castle,90,11,79.39%
3999,856110,Antisnake,18,0,79.39%
4000,775310,Blood of Patriots,18,0,79.39%
4001,786820,SOK MAX,18,0,79.39%
4002,916320,Fair Deal: Las Vegas,18,0,79.39%
4003,492200,CapRiders: Euro Soccer,18,0,79.39%
4004,974090,Gravity Bone,18,0,79.39%
4005,615330,Happy Penguin VR,18,0,79.39%
4006,636220,CubeWorks,18,0,79.39%
4007,786140,Plat4mer,18,0,79.39%
4008,974110,Zeroptian Invasion,18,0,79.39%
4009,37270,Wandering Willows,18,0,79.39%
4010,566900,Wacky Wings VR Edition,18,0,79.39%
4011,756320,Snail Trek - Chapter 2: A Snail Of Two Worlds,18,0,79.39%
4012,397600,Viral EX,18,0,79.39%
4013,599750,Crisis in the Kremlin,612,116,79.38%
4014,268500,XCOM 2,"27,912","6,676",79.38%
4015,25800,Europa Universalis III,"1,180",240,79.38%
4016,411310,"Codename: Panzers, Phase One",107,14,79.38%
4017,332400,Girlfriend Rescue,129,18,79.37%
4018,667870,MINDNIGHT,871,172,79.37%
4019,314450,Saviors,"1,358",280,79.36%
4020,669050,Mutiny!!,177,27,79.36%
4021,447570,Regeria Hope Episode 1,279,47,79.36%
4022,546550,Snowball!,66,7,79.35%
4023,15520,AaAaAA!!! - A Reckless Disregard for Gravity,544,102,79.34%
4024,402570,Atlas Reactor,"3,959",880,79.34%
4025,365660,OlliOlli2: Welcome to Olliwood,333,58,79.34%
4026,748360,MY HERO ONE'S JUSTICE,628,120,79.33%
4027,764300,Shantae: Half-Genie Hero Ultimate Edition,112,15,79.33%
4028,285800,Braveland,"1,301",268,79.33%
4029,6090,Armed and Dangerous,112,15,79.33%
4030,871200,FIGHTING EX LAYER,134,19,79.33%
4031,831090,OS:Path,26,1,79.32%
4032,6810,Commandos: Beyond the Call of Duty,391,70,79.32%
4033,294000,Knight Squad,248,41,79.32%
4034,795570,Odium to the Core,26,1,79.32%
4035,893960,Running Naked Simulator 2019,26,1,79.32%
4036,470580,In The Shadows,26,1,79.32%
4037,510040,A Matter of Murder,26,1,79.32%
4038,925930,Myst III: Exile,26,1,79.32%
4039,831720,EMMA The Story,26,1,79.32%
4040,709510,Towards The Pantheon,26,1,79.32%
4041,812800,Viki Spotter: School,26,1,79.32%
4042,358030,Another Star,26,1,79.32%
4043,404530,Voxel Turf,268,45,79.31%
4044,740290,Irony Of Nightmare,197,31,79.31%
4045,331690,Crossing Souls,557,105,79.31%
4046,214970,Intrusion 2,967,194,79.31%
4047,446560,Just Dance 2017,"1,164",238,79.30%
4048,263620,Mitsurugi Kamui Hikae,"2,441",529,79.29%
4049,284750,Enigmatis: The Ghosts of Maple Creek,668,129,79.29%
4050,695920,Super Seducer,626,120,79.29%
4051,259510,Shufflepuck Cantina Deluxe,414,75,79.29%
4052,201420,Toki Tori 2+,668,129,79.29%
4053,336940,Basingstoke,89,11,79.28%
4054,32770,Joint Operations: Combined Arms,117,16,79.28%
4055,553340,SolarGun,144,21,79.27%
4056,685680,Sakura Gamer,144,21,79.27%
4057,698720,KILL THE EMOJI,331,58,79.27%
4058,269950,X-Plane 11,"1,860",396,79.27%
4059,270850,Car Mechanic Simulator 2014,"3,302",731,79.26%
4060,477730,Eador. Imperium,777,153,79.26%
4061,420440,Atlantic Fleet,512,96,79.25%
4062,232770,POSTAL,"2,287",495,79.25%
4063,451570,Demetrios - The BIG Cynical Adventure,133,19,79.25%
4064,331390,Winged Sakura: Mindy's Arc,133,19,79.25%
4065,672000,System Goose Overload,40,3,79.25%
4066,756600,Trianga's Project: Battle Splash 2.0,53,5,79.25%
4067,648050,Super Pilot,40,3,79.25%
4068,318480,Burnstar,40,3,79.25%
4069,367140,Wish Project,40,3,79.25%
4070,449450,SPLIT BULLET,40,3,79.25%
4071,266250,Procyon,100,13,79.24%
