INDEX,APPID,NAME,POSITIVE,NEGATIVE,RATING
115,360740,Downwell,"4,399",146,93.08%
116,435400,Hidden Folks,"4,336",143,93.08%
117,266010,LYNE,"6,845",265,93.07%
118,732430,Superflight,"4,887",171,93.04%
119,246420,Kingdom Rush,"5,013",177,93.04%
120,70400,Recettear: An Item Shop's Tale,"5,005",177,93.04%
121,72850,The Elder Scrolls V: Skyrim,"236,373","14,926",93.02%
122,440,Team Fortress 2,"510,028","33,487",93.02%
123,435150,Divinity: Original Sin 2,"41,888","2,302",93.00%
124,239820,Game Dev Tycoon,"27,065","1,409",93.00%
125,346010,Besiege,"25,718","1,330",92.99%
126,344770,fault - milestone two side:above,"1,814",38,92.97%
127,225080,Brothers - A Tale of Two Sons,"31,444","1,681",92.97%
128,418240,Shadow Tactics: Blades of the Shogun,"8,968",385,92.96%
129,683320,GRIS,"4,058",137,92.94%
130,70300,VVVVVV,"6,663",267,92.93%
131,237930,Transistor,"22,011","1,137",92.90%
132,578620,GORN,"3,118",96,92.88%
133,12900,Audiosurf,"9,021",396,92.88%
134,200510,XCOM: Enemy Unknown,"36,444","2,025",92.87%
135,405640,Pony Island,"9,249",409,92.87%
136,264710,Subnautica,"86,704","5,249",92.87%
137,221380,Age of Empires II: HD Edition,"52,888","3,095",92.82%
138,851100,Touhou Luna Nights,"1,681",36,92.82%
139,899970,NEKOPARA Extra,"1,452",27,92.82%
140,450540,"Hot Dogs, Horseshoes & Hand Grenades","2,844",86,92.81%
141,40800,Super Meat Boy,"24,058","1,283",92.81%
142,588650,Dead Cells,"24,608","1,331",92.76%
143,201790,Orcs Must Die! 2,"13,260",650,92.76%
144,317400,Portal Stories: Mel,"9,700",450,92.73%
145,41700,S.T.A.L.K.E.R.: Call of Pripyat,"9,899",461,92.73%
146,18500,Defense Grid: The Awakening,"3,286",110,92.72%
147,13230,Unreal Tournament 2004,"2,149",58,92.71%
148,511470,Glass Masquerade,"2,060",54,92.71%
149,500,Left 4 Dead,"17,559",916,92.70%
150,388210,Day of the Tentacle Remastered,"2,388",69,92.69%
151,495890,Montaro,"10,017",476,92.66%
152,420,Half-Life 2: Episode Two,"13,596",688,92.65%
153,362680,Fran Bow,"4,772",188,92.64%
154,623080,planetarian HD,875,9,92.63%
155,501300,What Remains of Edith Finch,"9,538",453,92.62%
156,559210,Rakuen,"2,050",56,92.61%
157,219890,Antichamber,"12,130",606,92.61%
158,406150,Refunct,"11,621",578,92.60%
159,231160,The Swapper,"5,659",240,92.57%
160,50130,Mafia II,"30,422","1,760",92.57%
161,204450,Call of Juarez Gunslinger,"12,994",666,92.56%
162,227000,Primordia,"1,823",48,92.53%
163,335670,LISA,"7,280",333,92.53%
164,630,Alien Swarm,"17,326",938,92.53%
165,24980,Mass Effect 2,"10,515",522,92.52%
166,370360,TIS-100,"2,510",80,92.51%
167,552280,Tayutama 2 -you're the only one-,"1,342",28,92.50%
168,200710,Torchlight II,"29,343","1,719",92.49%
169,13240,Unreal Tournament: Game of the Year Edition,"2,091",61,92.49%
170,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,"10,677",538,92.47%
171,265890,Hexcells,"3,439",128,92.46%
172,207690,Botanicula,"3,482",131,92.44%
173,245550,Free to Play,"10,619",544,92.40%
174,316720,planetarian ~the reverie of a little planet~,"1,461",35,92.38%
175,200900,Cave Story+,"5,076",220,92.38%
176,40970,Stronghold Crusader HD,"3,991",161,92.37%
177,430960,Lucy -The Eternity She Wished For-,"5,142",225,92.36%
178,282900,Hyperdimension Neptunia Re;Birth1,"8,997",451,92.35%
179,373770,LiEat,"2,562",88,92.33%
180,293780,Crawl,"3,699",148,92.31%
181,436820,Waltz of the Wizard,"1,086",21,92.27%
182,333640,Caves of Qud,"1,415",36,92.21%
183,57300,Amnesia: The Dark Descent,"19,952","1,180",92.20%
184,218410,Defender's Quest: Valley of the Forgotten,"2,657",97,92.20%
185,359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,"8,230",421,92.19%
186,568770,Cinderella Phenomenon,"2,035",66,92.18%
187,339350,Choice of Robots,"1,705",50,92.18%
188,7670,BioShock,"19,518","1,157",92.17%
189,41050,Serious Sam Classic: The First Encounter,"1,375",35,92.16%
190,434570,Blood and Bacon,"16,522",961,92.15%
191,251290,The Legend of Heroes: Trails in the Sky SC,"1,077",23,92.09%
192,260750,Neighbours from Hell,"1,604",47,92.09%
193,553310,Lethal League Blaze,"1,645",49,92.08%
194,347620,Gaokao.Love.100Days,"4,519",206,92.07%
195,236450,PAC-MAN Championship Edition DX+,"5,934",290,92.07%
196,280220,Creeper World 3: Arc Eternal,"2,303",84,92.01%
197,245170,Skullgirls,"14,089",828,91.99%
198,365720,Skyrim Script Extender (SKSE),853,15,91.98%
199,351920,Crazy Machines 3,"2,897",117,91.98%
200,368340,CrossCode,"5,771",288,91.96%
201,304410,Hexcells Infinite,"1,915",65,91.96%
202,40700,Machinarium,"5,318",261,91.95%
203,296470,Mount Your Friends,"6,313",322,91.95%
204,22330,The Elder Scrolls IV: Oblivion,"13,449",790,91.95%
205,286160,Tabletop Simulator,"12,901",753,91.95%
206,265610,Epic Battle Fantasy 4,"2,173",79,91.94%
207,48000,LIMBO,"30,031","1,963",91.93%
208,531510,Just Shapes & Beats,"1,640",52,91.92%
209,302380,Floating Point,"3,260",140,91.91%
210,202170,Sleeping Dogs???,"14,768",890,91.90%
211,512900,Streets of Rogue,"5,285",262,91.90%
212,456750,The Room Three,"1,041",24,91.89%
213,432350,Epic Battle Fantasy 5,877,17,91.88%
214,788770,Meteor 60 Seconds!,"2,161",80,91.88%
215,47780,Dead Space 2,"8,747",485,91.88%
216,398850,Epistory - Typing Chronicles,"3,403",150,91.87%
217,3830,Psychonauts,"8,139",446,91.87%
218,22320,The Elder Scrolls III: Morrowind,"9,377",531,91.84%
219,871720,Ultimate Custom Night,"7,022",376,91.84%
220,4700,Total War: MEDIEVAL II - Definitive Edition,"10,011",575,91.83%
221,49600,Beat Hazard,"6,263",328,91.83%
222,955050,Bright Memory - Episode 1,"5,796",300,91.81%
223,888790,Sabbat of the Witch,465,2,91.78%
224,311690,Enter the Gungeon,"22,659","1,480",91.77%
225,248310,Freedom Planet,"3,532",162,91.77%
226,318130,Doom & Destiny,"1,544",50,91.77%
227,220440,DmC Devil May Cry,"14,431",894,91.74%
228,502800,SENRAN KAGURA ESTIVAL VERSUS,"2,681",113,91.74%
229,909080,Cube Escape: Paradox,"1,430",45,91.73%
230,562220,Zup! 2,"4,489",223,91.72%
231,212480,Sonic & All-Stars Racing Transformed Collection,"10,371",614,91.71%
232,460120,Megadimension Neptunia VII,"2,312",94,91.67%
233,410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,"3,983",195,91.65%
234,422970,Devil Daggers,"4,386",220,91.65%
235,504210,SHENZHEN I/O,"1,650",58,91.65%
236,541570,Sally Face,"1,491",50,91.63%
237,825630,STEINS;GATE 0,"1,197",35,91.62%
238,6910,Deus Ex: Game of the Year Edition,"6,065",332,91.61%
239,386940,Ultimate Chicken Horse,"7,450",425,91.61%
240,251990,Long Live The Queen,"5,648",306,91.58%
241,233450,Prison Architect,"31,175","2,182",91.57%
242,593280,Cat Quest,"2,313",97,91.57%
243,296490,GemCraft - Chasing Shadows,"2,141",87,91.57%
244,220780,Thomas Was Alone,"7,430",430,91.54%
245,322190,SteamWorld Heist,"2,590",114,91.54%
246,373390,Contradiction - the all-video murder mystery adventure,"1,608",58,91.53%
247,493900,Dungeons 3,"7,932",466,91.52%
248,353270,Hyperdimension Neptunia Re;Birth3 V Generation,"2,554",113,91.51%
249,643270,OLDTV,"4,226",218,91.50%
250,50,Half-Life: Opposing Force,"5,100",275,91.50%
251,379720,DOOM,"67,197","5,083",91.49%
252,458710,Kingdom Rush Frontiers,"2,435",107,91.47%
253,4580,"Warhammer 40,000: Dawn of War - Dark Crusade","2,776",128,91.46%
254,880950,???????????-Pure Station-,728,15,91.43%
255,481510,Night in the Woods,"6,496",376,91.41%
256,248820,Risk of Rain,"22,472","1,562",91.41%
257,461840,Zenge,"2,288",100,91.41%
258,636480,Ravenfield,"8,427",513,91.40%
259,2600,Vampire: The Masquerade - Bloodlines,"5,980",341,91.40%
260,554620,Life is Strange: Before the Storm,"20,992","1,454",91.39%
261,24240,PAYDAY: The Heist,"34,686","2,531",91.38%
262,207140,SpeedRunners,"20,809","1,444",91.37%
263,8980,Borderlands,"22,437","1,573",91.36%
264,239140,Dying Light,"74,338","5,774",91.36%
265,214730,Space Rangers HD: A War Apart,"3,271",163,91.35%
266,461560,Mandagon,"4,556",248,91.34%
267,246620,Plague Inc: Evolved,"19,716","1,371",91.33%
268,241600,Rogue Legacy,"13,794",921,91.31%
269,348250,Google Earth VR,"1,740",70,91.31%
270,32470,STAR WARS??? Empire at War: Gold Pack,"6,358",375,91.30%
271,284770,Enigmatis 2: The Mists of Ravenwood,851,22,91.30%
272,6000,STAR WARS??? Republic Commando,"6,260",369,91.29%
273,242760,The Forest,"107,220","8,613",91.29%
274,385800,NEKOPARA Vol. 0,"11,654",763,91.29%
275,248610,Door Kickers,"5,727",332,91.29%
276,26800,Braid,"6,467",384,91.29%
277,310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,"1,358",49,91.27%
278,588040,WILL: A Wonderful World,"3,197",162,91.26%
279,465520,PRICE,"4,145",225,91.26%
280,6020,STAR WARS??? Jedi Knight: Jedi Academy???,"5,604",326,91.25%
281,257850,Hyper Light Drifter,"10,883",711,91.25%
282,259680,Tales of Maj'Eyal,"2,705",131,91.24%
283,17460,Mass Effect,"9,923",640,91.24%
284,78000,Bejeweled 3,"2,611",125,91.24%
285,673130,AMID EVIL,462,5,91.24%
286,450390,The Lab,"2,840",140,91.23%
287,391220,Rise of the Tomb Raider,"47,270","3,632",91.22%
288,844930,Fox Hime Zero,"1,214",42,91.21%
289,418650,Space Pirate Trainer,"1,872",80,91.21%
290,571310,SteamWorld Dig 2,"1,369",51,91.19%
291,250050,Life Goes On,"1,456",56,91.19%
292,603960,Monolith,501,7,91.17%
293,723090,Meltys Quest,635,13,91.16%
294,247020,"Cook, Serve, Delicious!","4,206",234,91.16%
295,315810,eden*,"1,821",78,91.16%
296,497640,Trick & Treat,"1,533",61,91.16%
297,377860,Mushihimesama,777,20,91.14%
298,9450,"Warhammer 40,000: Dawn of War - Soulstorm","4,746",274,91.12%
299,538680,The Legend of Heroes: Trails of Cold Steel,"1,955",89,91.05%
300,365300,Transmissions: Element 120,"7,738",497,91.05%
301,291860,Pit People,"4,992",296,91.04%
302,230410,Warframe,"220,235","19,037",91.03%
303,238960,Path of Exile,"70,044","5,708",91.02%
304,225260,Br??tal Legend,"12,622",879,91.01%
305,252950,Rocket League,"238,131","20,745",91.00%
306,648390,Marie's Room,"3,536",196,90.99%
307,411830,SENRAN KAGURA SHINOVI VERSUS,"2,967",157,90.98%
308,571880,Angels with Scaly Wings,844,25,90.98%
309,483980,Mad Father,"1,118",40,90.98%
310,380,Half-Life 2: Episode One,"7,658",498,90.98%
311,362890,Black Mesa,"13,663",967,90.97%
312,230290,Universe Sandbox ??,"5,703",352,90.97%
313,355980,Dungeon Warfare,954,31,90.97%
314,2310,Quake,"2,550",130,90.96%
315,469790,Linelight,423,5,90.96%
316,236930,Blackwell Epiphany,490,8,90.94%
317,428550,Momodora: Reverie Under the Moonlight,"5,684",353,90.94%
318,664180,Draw Puzzle,553,11,90.92%
319,233130,Shadow Warrior,"18,530","1,374",90.91%
320,394970,DEADBOLT,"2,304",115,90.91%
321,838310,Bloodstained: Curse of the Moon,"1,620",71,90.91%
322,207170,Legend of Grimrock,"4,388",260,90.91%
323,457140,Oxygen Not Included,"15,766","1,150",90.90%
324,382490,Relic Hunters Zero,"5,661",354,90.90%
325,533300,Zup!,"5,746",361,90.89%
326,310080,Hatoful Boyfriend,"5,216",323,90.87%
327,616250,Crystalline,728,20,90.87%
328,701930,Short Stories Collection of Class Tangerine,454,7,90.84%
329,452570,Battle Chef Brigade,937,32,90.81%
330,10090,Call of Duty: World at War,"19,237","1,457",90.80%
331,2990,FlatOut 2,"5,282",333,90.79%
332,327140,Tilt Brush,784,24,90.76%
333,639780,DEEP SPACE WAIFU: FLAT JUSTICE,"1,681",78,90.76%
334,907090,Cursed Armor/????????????,443,7,90.75%
335,600370,Paradigm,549,12,90.75%
336,303310,The House in Fata Morgana,589,14,90.74%
337,41060,Serious Sam Classic: The Second Encounter,780,24,90.74%
338,866440,What Never Was,"1,179",47,90.74%
339,50300,Spec Ops: The Line,"31,666","2,548",90.72%
340,897330,Coloring Pixels,971,35,90.72%
341,623940,HIVESWAP: ACT 1,"2,894",162,90.71%
342,395170,DISTRAINT: Deluxe Edition,"6,522",434,90.71%
343,274520,Darkwood,"3,726",222,90.71%
344,261820,Estranged: Act I,"5,584",363,90.69%
345,764790,The Messenger,"1,566",72,90.69%
346,562860,Ion Maiden,877,30,90.68%
347,253030,Race The Sun,"5,210",335,90.68%
348,98800,Dungeons of Dredmor,"3,862",234,90.67%
349,859680,DEEP SPACE WAIFU: FANTASY,765,24,90.66%
