APPID,NAME,CURRENT,24H_PEAK,ALL_TIME_PEAK
269230,Aces Wild: Manic Brawling Action!,1,2,65
294510,Child Of Light Demo,1,3,65
381260,Orion Trail,1,2,65
409390,Marble Mountain,1,1,65
415400,Cross Set,1,2,65
466460,VRMark Demo,1,4,65
516430,Ruin of the Reckless,1,1,65
549260,Alwa's Awakening,1,9,65
678520,Gal*Gun VR,1,4,65
739980,Let`s not stay friends,1,2,65
749520,Sakura no Mori ? Dreamers,1,7,65
759970,HIBIKAKEYIRONOKISEKI / ?????,1,9,65
210190,Rocksmith Demo,1,3,64
257790,Riptide GP2,1,3,64
466800,The Dope Game,1,2,64
579760,The Journey Down: Chapter Three,1,3,64
111600,Serious Sam Double D XXL,1,4,63
253770,Bus-Simulator 2012,1,9,63
331880,Truck Mechanic Simulator 2015,1,7,63
347440,Pneuma: Breath of Life,1,1,63
485030,PLANET ALPHA,1,3,63
502130,Ctrl CV,1,3,63
517330,Stellar Interface,1,4,63
200030,Hard Reset - Demo,1,1,62
398100,Highschool Romance,1,2,62
509800,The Last Weekend,1,3,62
325730,The Hive,1,2,61
562410,Panty Party,1,2,61
746620,Bakery,1,5,61
751590,Dinosaurs A Prehistoric Adventure,1,3,61
34410,Death to Spies: Moment of Truth,1,4,60
307190,Nicole (otome version),1,3,60
329610,R.B.I. Baseball 15,1,2,60
345080,Flame Over,1,1,60
383690,Mu Complex,1,5,60
406650,Ratings War,1,1,60
494600,EARTH'S DAWN,1,3,60
761670,Grisaia Phantom Trigger Vol.4,1,3,60
895220,Leaflet Love Story,1,4,60
948100,AREA 4643,1,6,60
955060,The Watson-Scott Test,1,6,60
277110,Return to Mysterious Island,1,7,59
250200,Cabela's African Adventures,1,2,58
277680,"About Love, Hate and the other ones",1,3,58
454070,Boundel,1,4,58
500320,A Tale of Caos: Overture,1,2,58
522040,Princess Remedy In A Heap of Trouble,1,2,58
568930,The Land of Pain,1,5,58
663730,Invasion of Barbarians,1,2,58
718940,Prey with Gun,1,2,58
966530,You have a drunk friend,1,22,58
116100,Super Toy Cars,1,4,57
261880,Corporate Lifestyle Simulator,1,2,57
312410,Defense Zone,1,4,57
351300,Ceres,1,3,57
385330,Stray Cat Crossing,1,2,57
771250,Doodle God: Mighty Trio,1,6,57
824760,Fighting Fantasy Legends Portal,1,3,57
846200,Bastard,1,6,57
857950,Incredible Mandy,1,3,57
892510,Slay Together,1,10,57
2850,X-Tension,1,3,56
209230,Sherlock Holmes and The Hound of The Baskervilles,1,4,56
242960,Blood Omen 2: Legacy of Kain,1,6,56
319760,Oh My Gore!,1,5,56
332620,PONCHO,1,2,56
402330,Press X to Not Die,1,4,56
527150,Dead,1,3,56
535700,3D Chess,1,4,56
536420,Shining Plume,1,1,56
685680,Sakura Gamer,1,3,56
233210,Air Conflicts: Vietnam,1,4,55
319780,Airport Simulator 2015,1,4,55
336060,Raptor: Call of The Shadows - 2015 Edition,1,4,55
355630,Leo's Fortune,1,3,55
490280,Realms of Magic,1,6,55
851030,Mega Milk Story,1,1,55
8180,Battlestations: Pacific - Demo,1,3,54
58560,Runaway: A Twist of Fate,1,6,54
221870,3DMark 11 Demo,1,7,54
