APPID,NAME,CURRENT,24H_PEAK,ALL_TIME_PEAK
753,Steam,"12,315,273","16,853,645","18,537,490"
730,Counter-Strike: Global Offensive,"393,783","651,044","854,801"
570,Dota 2,"392,111","905,794","1,295,114"
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,"182,659","809,999","3,257,248"
359550,Tom Clancy's Rainbow Six Siege,"75,370","124,735","178,953"
252950,Rocket League,"51,457","60,716","103,129"
440,Team Fortress 2,"51,195","62,619","122,938"
872790,Football Manager 2019,"48,534","66,200","74,726"
252490,Rust,"46,983","60,442","85,218"
230410,Warframe,"44,596","74,763","132,201"
271590,Grand Theft Auto V,"43,828","83,079","364,548"
346110,ARK: Survival Evolved,"37,188","48,340","106,478"
289070,Sid Meier's Civilization VI,"36,153","41,531","162,657"
4000,Garry's Mod,"34,759","49,379","73,863"
8930,Sid Meier's Civilization V,"33,758","38,555","91,363"
582010,MONSTER HUNTER: WORLD,"29,357","62,572","334,684"
105600,Terraria,"28,711","34,187","159,175"
238960,Path of Exile,"26,966","32,548","123,462"
883710,RESIDENT EVIL 2 / BIOHAZARD RE:2,"25,550","34,950","74,227"
381210,Dead by Daylight,"24,195","37,299","63,715"
755790,Ring of Elysium,"21,799","34,441","63,435"
834910,ATLAS,"21,714","24,185","58,939"
107410,Arma 3,"21,159","28,760","56,679"
394360,Hearts of Iron IV,"20,216","26,063","41,042"
594570,Total War: WARHAMMER II,"18,474","21,761","72,320"
444090,Paladins,"18,470","25,561","60,743"
343710,KHOLAT,"17,855","105,638","272,019"
227300,Euro Truck Simulator 2,"16,699","32,515","48,356"
377160,Fallout 4,"16,557","19,253","472,962"
489830,The Elder Scrolls V: Skyrim Special Edition,"16,463","18,875","69,906"
236850,Europa Universalis IV,"16,415","20,770","28,449"
413150,Stardew Valley,"16,356","17,981","64,427"
306130,The Elder Scrolls Online,"16,338","19,403","29,996"
304930,Unturned,"16,192","31,099","63,462"
294100,RimWorld,"15,499","17,163","28,475"
582660,Black Desert Online,"14,554","15,423","28,152"
251570,7 Days to Die,"14,465","17,174","32,765"
264710,Subnautica,"13,780","16,297","51,156"
281990,Stellaris,"13,723","15,709","68,602"
236390,War Thunder,"13,554","19,288","35,313"
72850,The Elder Scrolls V: Skyrim,"13,263","16,741","287,411"
221380,Age of Empires II: HD Edition,"12,646","15,741","22,597"
435150,Divinity: Original Sin 2,"12,214","13,655","93,701"
624090,Football Manager 2018,"11,622","16,377","71,575"
10,Counter-Strike,"11,536","20,350","319,586"
39210,FINAL FANTASY XIV Online,"11,470","11,923","25,725"
255710,Cities: Skylines,"11,448","14,894","60,386"
427520,Factorio,"11,399","13,304","20,261"
291550,Brawlhalla,"11,331","14,118","16,525"
292030,The Witcher 3: Wild Hunt,"11,131","17,759","92,268"
787860,Farming Simulator 19,"11,066","16,615","59,466"
431960,Wallpaper Engine,"10,205","12,580","20,474"
646570,Slay the Spire,"10,097","12,395","33,086"
49520,Borderlands 2,"9,269","10,574","124,678"
386360,SMITE,"9,256","10,839","23,596"
374320,DARK SOULS? III,"9,075","12,662","129,975"
304390,For Honor,"9,034","12,303","225,831"
550,Left 4 Dead 2,"8,826","14,734","162,399"
203770,Crusader Kings II,"8,546","9,875","141,439"
812140,Assassin's Creed Odyssey,"8,540","13,647","62,069"
48700,Mount & Blade: Warband,"8,491","11,522","33,054"
218620,PAYDAY 2,"8,437","14,581","247,709"
438100,VRChat,"8,288","9,621","20,320"
601510,Yu-Gi-Oh! Duel Links,"8,246","9,320","15,934"
502500,ACE COMBAT? 7: SKIES UNKNOWN,"7,995","13,602","13,758"
214950,Total War: ROME II - Emperor Edition,"7,657","9,457","118,240"
480,Spacewar,"7,418","15,005","22,843"
359320,Elite Dangerous,"7,351","8,488","18,092"
841370,NBA 2K19,"7,346","17,775","29,026"
242760,The Forest,"7,332","10,169","25,874"
221100,DayZ,"7,224","9,519","45,548"
440900,Conan Exiles,"6,849","7,780","53,402"
322330,Don't Starve Together,"6,846","12,548","30,576"
813820,Realm Royale,"6,760","8,511","105,440"
552500,Warhammer: Vermintide 2,"6,497","8,020","73,316"
47890,The Sims(TM) 3,"6,482","7,146","9,621"
666140,My Time At Portia,"6,162","8,810","13,299"
250900,The Binding of Isaac: Rebirth,"6,063","7,978","70,232"
231430,Company of Heroes 2,"5,908","8,696","164,688"
268500,XCOM 2,"5,563","6,593","133,022"
848450,Subnautica: Below Zero,"5,465","7,487","17,473"
244850,Space Engineers,"5,420","6,249","23,888"
627690,Idle Champions of the Forgotten Realms,"5,379","5,693","6,565"
444200,World of Tanks Blitz,"5,339","17,829","25,701"
482730,Football Manager 2017,"4,914","7,193","72,824"
218,Source SDK Base 2007,"4,914","16,321","16,321"
233860,Kenshi,"4,891","5,773","8,476"
376210,The Isle,"4,752","5,204","5,204"
220200,Kerbal Space Program,"4,647","5,493","19,149"
240,Counter-Strike: Source,"4,515","7,538","100,056"
573100,Battlefleet Gothic: Armada II,"4,476","5,320","8,960"
607050,Wargroove,"4,476","5,065","5,065"
550650,Black Squad,"4,460","7,930","15,939"
22380,Fallout: New Vegas,"4,439","4,877","51,038"
4700,Total War: MEDIEVAL II - Definitive Edition,"4,309","5,205","5,917"
552990,World of Warships,"4,284","7,716","7,716"
552520,Far Cry 5,"4,279","5,409","92,445"
232090,Killing Floor 2,"4,213","6,801","69,987"
270880,American Truck Simulator,"4,192","4,859","19,153"
392110,Endless Space 2,"4,165","4,791","16,683"
379430,Kingdom Come: Deliverance,"3,946","5,335","96,069"
211820,Starbound,"3,941","4,445","88,709"
286160,Tabletop Simulator,"3,889","4,066","4,915"
365590,Tom Clancy's The Division,"3,850","6,358","114,228"
227940,Heroes & Generals,"3,833","6,853","21,026"
581320,Insurgency: Sandstorm,"3,823","4,230","8,071"
457140,Oxygen Not Included,"3,784","5,010","10,952"
219990,Grim Dawn,"3,684","5,063","20,411"
10500,Total War: EMPIRE - Definitive Edition,"3,637","4,566","27,559"
204880,Sins of a Solar Empire: Rebellion,"3,504","11,125","93,109"
678950,DRAGON BALL FighterZ,"3,469","3,705","44,303"
386180,Crossout,"3,381","6,233","9,701"
322170,Geometry Dash,"3,350","4,531","9,641"
8500,EVE Online,"3,268","4,010","6,703"
239140,Dying Light,"3,247","5,506","45,876"
325610,Total War: ATTILA,"3,182","4,209","26,346"
690830,Foundation,"3,171","4,088","4,088"
314160,Microsoft Flight Simulator X: Steam Edition,"3,125","4,016","5,821"
275850,No Man's Sky,"3,082","3,538","212,613"
34330,Total War: SHOGUN 2,"3,053","3,806","38,517"
770240,PRO EVOLUTION SOCCER 2019,"3,006","5,123","6,551"
460930,Tom Clancy's Ghost Recon? Wildlands,"2,964","4,414","45,704"
637090,BATTLETECH,"2,964","3,276","35,767"
363970,Clicker Heroes,"2,905","3,327","65,882"
356190,Middle-earth?: Shadow of War?,"2,901","3,859","68,183"
109600,Neverwinter,"2,786","3,502","14,866"
304050,Trove,"2,784","4,335","58,949"
367520,Hollow Knight,"2,769","3,827","10,054"
383120,Empyrion - Galactic Survival,"2,744","3,192","7,118"
289130,Endless Legend,"2,724","3,262","10,468"
268850,EVGA Precision XOC,"2,724","2,999","4,248"
620,Portal 2,"2,711","3,290","98,460"
244210,Assetto Corsa,"2,684","3,862","7,067"
372000,Tree of Savior (English Ver.),"2,682","2,920","53,554"
262060,Darkest Dungeon?,"2,679","3,163","19,357"
291480,Warface,"2,649","3,953","13,867"
700330,SCP: Secret Laboratory,"2,644","3,852","4,613"
284160,BeamNG.drive,"2,603","3,242","4,383"
620980,Beat Saber,"2,601","2,871","4,030"
9900,Star Trek Online,"2,556","2,971","7,910"
105450,Age of Empires? III: Complete Collection,"2,553","3,081","5,609"
378120,Football Manager 2016,"2,548","3,324","82,916"
893520,CreativeDestruction,"2,516","3,877","6,330"
364360,Total War: WARHAMMER,"2,452","3,006","113,019"
453480,Shadowverse,"2,428","5,954","24,167"
393380,Squad,"2,412","3,216","11,577"
447020,Farming Simulator 17,"2,358","3,752","32,313"
644930,They Are Billions,"2,355","3,307","22,395"
513710,SCUM,"2,319","2,830","68,322"
640820,Pathfinder: Kingmaker,"2,288","2,822","22,643"
389430,Knight Online,"2,253","2,838","24,594"
766570,Russian Fishing 4,"2,250","3,696","4,378"
323190,Frostpunk,"2,209","2,816","29,361"
225540,Just Cause 3,"2,206","3,343","23,459"
418460,Rising Storm 2: Vietnam,"2,192","2,586","24,518"
560380,MapleStory 2,"2,190","2,218","42,467"
610080,Realm Grinder,"2,141","2,337","6,265"
493340,Planet Coaster,"2,112","2,812","21,971"
863550,HITMAN? 2,"2,102","2,991","361,001"
242920,Banished,"2,074","2,373","24,636"
560130,Pillars of Eternity II: Deadfire,"2,074","2,534","22,724"
393420,Hurtworld,"2,034","3,287","13,333"
446800,Transport Fever,"2,029","3,105","12,615"
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,"2,024","2,534","91,195"
233450,Prison Architect,"2,000","2,332","16,211"
645630,Car Mechanic Simulator 2018,"1,993","2,481","8,474"
335300,DARK SOULS? II: Scholar of the First Sin,"1,988","2,592","12,106"
397900,Business Tour - Online Multiplayer Board Game,"1,979","2,544","7,707"
454650,DRAGON BALL XENOVERSE 2,"1,946","2,285","19,416"
33350,Anno 1404: Venice,"1,937","2,583","2,583"
219740,Don't Starve,"1,905","3,799","16,796"
621060,PC Building Simulator,"1,893","2,601","2,782"
706220,Black Desert Online SA,"1,881","1,991","3,009"
305620,The Long Dark,"1,839","2,661","14,433"
596970,Sunless Skies,"1,821","2,006","2,006"
218230,PlanetSide 2,"1,819","2,305","29,676"
4760,Rome: Total War,"1,797","2,208","4,413"
750920,Shadow of the Tomb Raider,"1,784","2,890","38,268"
222880,Insurgency,"1,782","2,701","121,575"
673950,Farm Together,"1,758","3,315","3,671"
504370,Battlerite,"1,757","2,127","45,145"
389730,TEKKEN 7,"1,738","3,340","18,966"
266840,Age of Mythology: Extended Edition,"1,728","1,963","11,074"
311690,Enter the Gungeon,"1,716","2,169","15,792"
244450,Men of War: Assault Squad 2,"1,690","2,435","9,750"
736190,?????/Chinese Parents,"1,665","16,335","32,593"
391220,Rise of the Tomb Raider,"1,659","3,267","44,588"
295270,Football Manager 2015,"1,658","2,138","82,071"
208140,Endless Space,"1,655","2,845","10,381"
307780,Mortal Kombat X,"1,654","2,504","15,743"
638970,Yakuza 0,"1,648","1,858","8,985"
8800,Sid Meier's Civilization IV: Beyond the Sword,"1,647","1,808","2,475"
34030,Total War: NAPOLEON - Definitive Edition,"1,645","2,287","9,935"
648800,Raft,"1,637","2,265","18,929"
438040,Shakes and Fidget,"1,625","2,722","9,495"
594650,Hunt: Showdown,"1,584","2,043","14,136"
648350,Jurassic World Evolution,"1,583","2,015","60,296"
582160,Assassin's Creed Origins,"1,581","2,679","41,551"
346900,AdVenture Capitalist,"1,577","1,818","22,998"
373420,Divinity: Original Sin Enhanced Edition,"1,562","1,961","7,565"
212680,FTL: Faster Than Light,"1,561","1,700","19,301"
379720,DOOM,"1,558","1,912","44,271"
32470,STAR WARS? Empire at War: Gold Pack,"1,557","1,828","2,964"
311210,Call of Duty: Black Ops III,"1,538","2,140","63,681"
402840,Crusaders of the Lost Idols,"1,534","1,713","4,068"
518790,theHunter?: Call of the Wild,"1,515","2,195","5,524"
392160,X4: Foundations,"1,502","1,921","15,198"
261640,Borderlands: The Pre-Sequel,"1,493","1,798","68,238"
269950,X-Plane 11,"1,474","1,957","2,232"
3910,Sid Meier's Civilization III: Complete,"1,465","1,596","4,600"
836620,Black Desert Online Turkiye and MENA,"1,465","1,902","4,525"
228200,Company of Heroes,"1,447","2,038","5,906"
329110,Gems of War,"1,444","2,069","2,688"
298110,Far Cry 4,"1,403","2,023","16,963"
1840,Source Filmmaker,"1,377","1,591","3,975"
630100,SoulWorker,"1,350","1,929","11,017"
712100,Total War Saga: Thrones of Britannia,"1,339","1,708","22,797"
200210,Realm of the Mad God,"1,336","1,501","10,051"
378860,Project CARS 2,"1,326","1,906","6,775"
310950,Street Fighter V,"1,314","2,033","14,783"
212740,TERA,"1,312","1,764","5,068"
476620,Call of Duty: WWII - Multiplayer,"1,311","2,124","56,627"
323370,TERA,"1,302","1,315","25,260"
433340,Slime Rancher,"1,302","1,726","6,452"
950100,PRO EVOLUTION SOCCER 2019 LITE,"1,293","1,765","2,451"
537180,Digimon Masters Online,"1,285","1,660","3,830"
548430,Deep Rock Galactic,"1,278","1,628","4,295"
24010,Train Simulator,"1,274","2,287","3,821"
433850,H1Z1,"1,271","1,914","151,239"
570940,DARK SOULS?: REMASTERED,"1,264","1,545","24,501"
431240,Golf With Your Friends,"1,257","1,257","2,499"
375910,Anno 2205,"1,242","1,477","7,446"
42960,Victoria II,"1,232","1,446","1,700"
360430,Mafia III,"1,223","1,970","47,822"
577800,NBA 2K18,"1,214","4,662","25,432"
466240,Deceit,"1,195","1,709","16,923"
365360,Battle Brothers,"1,192","1,458","4,632"
477160,Human: Fall Flat,"1,184","3,944","38,841"
291650,Pillars of Eternity,"1,180","1,442","41,906"
588650,Dead Cells,"1,176","1,909","10,435"
391540,Undertale,"1,173","1,360","10,484"
22330,The Elder Scrolls IV: Oblivion,"1,165","1,284","6,390"
466170,Idling to Rule the Gods,"1,155","1,246","2,783"
619290,Out of the Park Baseball 19,"1,155","1,309","1,525"
674940,Stick Fight: The Game,"1,149","1,412","5,147"
200510,XCOM: Enemy Unknown,"1,147","1,506","70,568"
342200,MechWarrior Online,"1,147","1,228","4,155"
629520,Soundpad,"1,147","1,477","1,498"
637650,FINAL FANTASY XV WINDOWS EDITION,"1,146","1,596","29,498"
380600,Fishing Planet,"1,145","1,977","6,709"
613100,House Flipper,"1,141","1,538","10,899"
310560,DiRT Rally,"1,133","1,798","4,352"
301520,Robocraft,"1,127","1,746","26,725"
387990,Scrap Mechanic,"1,127","2,215","3,832"
992070,Idle Wizard,"1,125","1,199","1,199"
40970,Stronghold Crusader HD,"1,120","1,833","1,833"
221680,Rocksmith? 2014 Edition - Remastered,"1,118","1,352","4,063"
312660,Sniper Elite 4,"1,114","1,888","15,101"
466560,Northgard,"1,107","1,518","7,758"
599140,Graveyard Keeper,"1,106","1,360","16,993"
361420,ASTRONEER,"1,106","1,406","11,900"
656240,Heat,"1,101","1,266","1,266"
251060,Wargame: Red Dragon,"1,091","1,317","4,779"
611500,Quake Champions,"1,089","1,534","17,476"
364470,The Elder Scrolls: Legends,"1,086","1,473","8,873"
10190,Call of Duty: Modern Warfare 2 - Multiplayer,"1,078","1,665","112,874"
231670,Football Manager 2014,"1,069","1,445","79,105"
742120,DRAGON QUEST? XI: Echoes of an Elusive Age?,"1,069","1,249","11,793"
872820,Football Manager 2019 Touch,"1,067","1,462","1,650"
297000,Heroes of Might & Magic III - HD Edition,"1,057","1,515","4,138"
334230,Town of Salem,"1,055","1,168","3,787"
535930,Two Point Hospital,"1,051","1,562","34,009"
360940,The Mean Greens - Plastic Warfare,"1,049","1,877","2,836"
531640,Eternal Card Game,"1,043","1,237","2,894"
208650,Batman?: Arkham Knight,"1,039","1,423","27,406"
292910,Deponia: The Complete Journey,"1,028","3,457","13,321"
326460,ShellShock Live,"1,020","1,246","7,455"
588430,Fallout Shelter,994,"1,380","42,656"
211420,DARK SOULS?: Prepare To Die Edition,992,"1,206","11,259"
758190,Dragon Cliff ??,992,"1,618","5,953"
367500,Dragon's Dogma: Dark Arisen,990,"1,128","27,368"
704450,Neverwinter Nights: Enhanced Edition,969,"1,033","1,884"
50130,Mafia II,964,"1,778","29,474"
365670,Blender,963,"1,181","1,404"
513650,Zula Europe,960,"2,348","4,045"
236110,Dungeon Defenders II,955,"1,182","18,785"
202990,Call of Duty: Black Ops II - Multiplayer,933,"1,315","71,228"
573090,Stormworks: Build and Rescue,932,"1,105","1,329"
363890,RPG Maker MV,931,"1,037","2,486"
955900,Amazing Cultivation Simulator / ?????????,917,"5,799","18,349"
737800,F1 2018,916,"1,833","9,809"
8980,Borderlands,915,"1,115","23,655"
738540,Tales of Vesperia: Definitive Edition,914,"1,135","3,450"
290080,Life is Feudal: Your Own,911,"1,326","7,896"
583950,Artifact,910,"1,789","60,646"
10090,Call of Duty: World at War,907,"1,026","4,825"
203160,Tomb Raider,900,"1,629","29,244"
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,898,975,"5,940"
12120,Grand Theft Auto: San Andreas,893,"1,458","2,320"
489520,Minion Masters,892,"1,057","10,329"
108600,Project Zomboid,889,"1,108","3,495"
663090,Granado Espada,888,988,"1,957"
221040,Resident Evil 6 / Biohazard 6,887,"1,603","11,879"
17390,Spore,884,"1,131","5,630"
299740,Miscreated,874,"1,078","4,595"
464920,Surviving Mars,869,"1,154","23,521"
245620,Tropico 5,860,"1,132","13,483"
9450,"Warhammer 40,000: Dawn of War - Soulstorm",857,"1,041","3,283"
33930,Arma 2: Operation Arrowhead,849,"1,357","19,175"
65980,Sid Meier's Civilization: Beyond Earth,846,981,"86,892"
268910,Cuphead,843,"1,002","19,026"
475150,Titan Quest Anniversary Edition,842,"1,417","11,043"
506140,Shop Heroes,837,"1,205","4,222"
241930,Middle-earth?: Shadow of Mordor?,835,"1,073","48,668"
337000,Deus Ex: Mankind Divided?,831,"1,054","52,485"
555570,Infestation: The New Z,830,"1,358","14,437"
485510,Nioh: Complete Edition,828,"1,482","10,649"
335240,Transformice,825,"1,117","5,636"
339600,VEGA Conflict,824,"1,170","3,814"
48240,Anno 2070,823,"1,016","11,217"
675010,Spintires: MudRunner,820,"1,303","8,667"
286690,Metro 2033 Redux,820,"1,302","5,139"
234140,Mad Max,819,"1,219","33,356"
718670,Cultist Simulator,818,882,"2,897"
681660,Bless Online,814,"1,126","34,392"
212500,The Lord of the Rings Online?,812,"1,112","3,965"
12210,Grand Theft Auto IV,809,"1,268","11,696"
254700,resident evil 4 / biohazard 4,802,875,"2,447"
403640,Dishonored 2,800,"1,072","22,411"
322500,SUPERHOT,799,936,"5,584"
287390,Metro: Last Light Redux,798,"1,309","2,819"
208580,STAR WARS? Knights of the Old Republic? II: The Sith Lords?,796,849,"6,581"
735850,Trailer Park Boys: Greasy Money,789,869,"1,113"
421020,DiRT 4,788,"1,192","4,396"
977400,Cell to Singularity - Evolution Never Ends,783,893,"1,312"
242050,Assassin's Creed IV Black Flag,778,"1,081","16,049"
287450,Rise of Nations: Extended Edition,778,874,"2,734"
3900,Sid Meier's Civilization IV,773,882,"2,314"
220,Half-Life 2,772,"1,151","12,953"
1930,Two Worlds: Epic Edition,766,920,"5,909"
232890,Stronghold Crusader 2,764,"1,228","5,763"
9420,Supreme Commander: Forged Alliance,759,939,"1,233"
524220,NieR:Automata?,754,"1,118","23,908"
226840,Age of Wonders III,753,945,"11,104"
544750,SOULCALIBUR VI,751,835,"14,684"
431730,Aseprite,747,792,933
527230,For The King,746,816,"3,635"
322780,Worlds Adrift,743,810,"2,057"
333420,Cossacks 3,742,"1,239","5,797"
612020,Zombidle: REMONSTERED,742,871,"2,382"
571740,Golf It!,739,878,"2,438"
384300,CPUCores :: Maximize Your FPS,736,"1,462","6,139"
212200,Mabinogi,733,741,"1,229"
459820,Crush Crush,732,871,"2,362"
236870,HITMAN?,731,965,"51,650"
273110,Counter-Strike Nexon: Zombies,726,"1,083","10,007"
824270,KovaaK's FPS Aim Trainer,721,"1,217","1,525"
220240,Far Cry? 3,718,"1,074","23,065"
251040,PAYDAY 2 Demo,717,"1,191","3,197"
382310,Eco,716,841,"6,964"
552620,ATOM RPG,716,"1,244","2,938"
21690,Resident Evil 5 / Biohazard 5,716,876,"2,585"
536930,MOBIUS FINAL FANTASY,711,"1,134","9,443"
113400,APB Reloaded,707,993,"11,813"
363150,Romance of the Three Kingdoms 13,706,"1,831","11,909"
280790,Creativerse,702,965,"10,929"
636480,Ravenfield,701,917,"1,277"
200710,Torchlight II,699,904,"54,821"
590380,Into the Breach,699,783,"14,682"
20920,The Witcher 2: Assassins of Kings Enhanced Edition,698,"1,078","12,884"
42690,Call of Duty: Modern Warfare 3 - Multiplayer,694,"1,221","86,832"
418370,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,694,804,"20,449"
216150,MapleStory,688,721,"3,552"
237310,Elsword,688,701,"2,587"
47810,Dragon Age: Origins - Ultimate Edition,678,765,"8,364"
702320,March of Empires,671,"1,090","1,399"
480490,Prey,666,825,"24,594"
24200,DC Universe Online,664,750,"17,701"
415200,Motorsport Manager,662,893,"6,251"
20900,The Witcher: Enhanced Edition,661,"1,011","8,338"
502520,Ultimate General: Civil War,661,737,"1,678"
517630,Just Cause 4,650,976,"9,571"
316010,Magic Duels,649,697,"14,586"
603850,Age of Civilizations II,647,"1,142","2,206"
339610,FreeStyle 2: Street Basketball,646,"1,119","10,356"
504230,Celeste,646,681,"1,973"
505460,Foxhole,639,770,"4,839"
359870,FINAL FANTASY X/X-2 HD Remaster,637,706,"13,263"
252530,OMSI 2,636,"1,381","2,030"
282070,This War of Mine,635,957,"9,503"
736220,Post Scriptum,633,956,"4,483"
223750,DCS World Steam Edition,628,809,"1,029"
960090,Bloons TD 6,625,762,866
226860,Galactic Civilizations III,624,674,"6,297"
311310,Naval Action,624,754,"5,222"
71270,Football Manager 2012,623,883,"77,630"
319630,Life is Strange?,623,831,"18,260"
365960,rFactor 2,618,"1,149","1,424"
388080,Borderless Gaming,618,689,"1,182"
516750,My Summer Car,616,979,"5,509"
47410,Stronghold Kingdoms,615,815,"8,616"
555160,Pavlov VR,613,613,"1,067"
253710,theHunter Classic,612,940,"2,656"
253250,Stonehearth,608,781,"1,851"
215080,WAKFU,605,707,"4,078"
444640,Bloons TD Battles,605,762,"2,634"
298050,Master of Orion,601,688,"4,852"
368340,CrossCode,595,658,"3,429"
838350,???? The Scroll Of Taiwu,594,"3,600","72,533"
80,Counter-Strike: Condition Zero,585,838,"32,748"
261430,AION Free-to-Play,581,941,"2,987"
552100,Brick Rigs,581,937,"1,049"
698780,Doki Doki Literature Club,577,684,"7,402"
33250,Anno 1404,574,800,800
55230,Saints Row: The Third,573,887,"34,371"
300,Day of Defeat: Source,571,794,"7,507"
8870,BioShock Infinite,569,743,"65,332"
10180,Call of Duty: Modern Warfare 2,566,840,"22,614"
3590,Plants vs. Zombies: Game of the Year,563,772,"6,208"
447040,Watch_Dogs 2,558,"1,199","18,138"
228280,Baldur's Gate: Enhanced Edition,556,679,"3,756"
268400,Panzer Corps,554,748,991
285920,TerraTech,550,643,"4,462"
207890,Football Manager 2013,548,690,"87,719"
6060,"Star Wars: Battlefront 2 (Classic, 2005)",548,629,"4,789"
304240,Resident Evil / biohazard HD REMASTER,548,664,"4,388"
532210,Life is Strange 2,542,778,"5,204"
219640,Chivalry: Medieval Warfare,541,775,"25,145"
371660,Far Cry Primal,540,751,"14,783"
503940,Railway Empire,539,797,"3,717"
39140,FINAL FANTASY VII,538,586,"6,424"
333930,Dirty Bomb,537,753,"13,113"
203290,America's Army: Proving Grounds,537,666,"3,073"
205100,Dishonored,536,656,"19,938"
495910,Dungeon Fighter Online,536,575,"3,469"
411300,ELEX,535,824,"22,969"
249050,Dungeon of the Endless,533,623,"6,323"
257350,Baldur's Gate II: Enhanced Edition,533,629,"2,644"
551170,Onmyoji,533,735,"1,571"
612880,Wolfenstein II: The New Colossus,532,673,"16,141"
550900,Metin2,530,802,"8,285"
204360,Castle Crashers,528,696,"16,013"
438740,Friday the 13th: The Game,524,688,"16,096"
32370,STAR WARS?: Knights of the Old Republic?,524,599,"5,642"
42700,Call of Duty: Black Ops,520,660,"63,343"
436150,Governor of Poker 3,519,708,"1,601"
817130,WWE 2K19,519,644,"1,496"
236690,Blood Bowl 2,516,691,"6,511"
228380,Wreckfest,514,614,"3,049"
453090,Parkitect,514,637,"1,400"
646910,The Crew 2,512,"1,044","6,541"
24780,SimCity 4 Deluxe,512,582,"5,206"
70,Half-Life,512,637,"2,167"
883860,Cadria Item Shop,510,940,"1,132"
201810,Wolfenstein: The New Order,509,684,"11,986"
238090,Sniper Elite 3,507,785,"10,861"
775220,Crusaders of Light,504,581,"1,008"
239820,Game Dev Tycoon,498,562,"7,761"
442080,Riders of Icarus,495,611,"17,162"
892420,?????,493,703,"1,522"
569480,Kingdoms and Castles,491,612,"4,856"
451340,Gold Rush: The Game,490,690,"6,625"
786520,SAO Utils,489,"1,829","3,708"
994930,Soccer Manager 2019,489,626,656
211500,RaceRoom Racing Experience,488,860,"1,149"
374040,Portal Knights,482,769,"6,545"
445220,Avorion,481,567,"3,973"
629910,Clicker Heroes 2,480,556,"9,582"
500,Left 4 Dead,478,659,"30,616"
40100,Supreme Commander 2,478,637,"3,730"
884660,Cuisine Royale,474,800,"12,266"
312530,Duck Game,473,624,"5,047"
224260,No More Room in Hell,468,680,"10,922"
22320,The Elder Scrolls III: Morrowind,468,545,"1,396"
400,Portal,466,589,"20,672"
206420,Saints Row IV,463,736,"42,270"
592580,PRO EVOLUTION SOCCER 2018,463,831,"7,082"
585420,Trailmakers,463,527,"1,710"
35450,Rising Storm/Red Orchestra 2 Multiplayer,462,"1,238","16,551"
346010,Besiege,462,764,"6,638"
274920,FaceRig,462,"1,215","1,304"
304030,ArcheAge,458,538,"6,509"
42680,Call of Duty: Modern Warfare 3,457,777,"46,327"
365450,Hacknet,456,456,"127,640"
313120,Stranded Deep,456,573,"6,036"
470220,UNO,453,480,"2,309"
964470,Shakes and Fidget Remastered,453,733,"1,144"
42710,Call of Duty: Black Ops - Multiplayer,451,676,"118,593"
434170,The Jackbox Party Pack 3,449,695,"5,350"
246620,Plague Inc: Evolved,448,504,"4,658"
200260,Batman: Arkham City GOTY,446,585,"6,871"
1250,Killing Floor,442,646,"24,107"
56400,"Warhammer 40,000: Dawn of War II - Retribution",442,586,"15,143"
410900,Forts,441,633,"7,280"
701160,Kingdom Two Crowns,441,565,"3,223"
7520,Two Worlds II,440,"1,112","2,209"
288390,Nobunaga's Ambition: Souzou with Power Up Kit,430,"1,060","6,856"
626690,Sword Art Online: Fatal Bullet,429,790,"21,727"
248390,Craft The World,424,673,"3,283"
375450,NOBUNAGA'S AMBITION: Souzou SengokuRisshiden,423,897,"7,488"
278360,A Story About My Uncle,418,"2,342","190,590"
40950,Stronghold HD,418,601,639
469600,Legion TD 2,415,484,"3,284"
429660,Tales of Berseria,414,525,"8,085"
282440,Quake Live,411,538,"6,154"
253230,A Hat in Time,410,467,"5,587"
212910,Call of Duty: Black Ops II - Zombies,406,546,"9,695"
788260,Rules Of Survival,406,"1,709","7,484"
968440,Artist Idle,406,441,516
728880,Overcooked! 2,405,"1,567","7,030"
429050,Feed and Grow: Fish,402,499,954
327070,Gloria Victis,401,500,"1,481"
386070,Planetary Annihilation: TITANS,400,527,"4,577"
641990,The Escapists 2,398,582,"11,202"
872940,Football Manager 2019 Editor,398,589,988
589360,Ni no Kuni? II: Revenant Kingdom,396,485,"10,805"
529180,Dark and Light,395,547,"14,089"
39150,FINAL FANTASY VIII,394,451,"4,470"
280220,Creeper World 3: Arc Eternal,393,488,"3,303"
234330,Marvel Puzzle Quest,393,508,"3,002"
704230,Pro Cycling Manager 2018,393,772,"2,565"
617830,SUPERHOT VR,393,435,610
471710,Rec Room,392,462,599
717690,OVERKILL's The Walking Dead,389,707,"14,375"
700030,Life is Feudal: MMO,387,500,"5,331"
22490,Fallout: New Vegas RU,385,971,"3,777"
4920,Natural Selection 2,382,448,"9,510"
366220,Wurm Unlimited,382,465,"1,958"
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,381,754,"5,956"
215830,Closers,380,445,"2,091"
99900,Spiral Knights,379,432,"13,143"
600750,Star Trek Timelines,379,461,927
493900,Dungeons 3,378,518,"3,289"
236430,DARK SOULS? II,376,568,"79,528"
714210,Zula Online,376,"1,546","2,489"
